,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(p1*p2),(p1+p2),(x*x),[x==1],expected_post,p1,p2,post-init,x
0,0.78,1.3,1.68,0.7,0.32,0.2,0.98,0,0,0.338,0.3,0.68,0.338,0
1,0.9,1.62,1.74,0.38,0.26,0.46,1.36,0,0,0.224,0.62,0.74,0.224,0
2,0.73,1.71,1.07,0.29,0.93,0.05,0.78,0,0,0.936,0.71,0.07,0.936,0
3,0.66,1.32,1.5,0.68,0.5,0.16,0.82,0,0,0.504,0.32,0.5,0.504,0
4,0.61,1.28,1.46,0.72,0.54,0.13,0.74,0,0,0.55,0.28,0.46,0.55,0
5,0.74,1.37,1.58,0.63,0.42,0.21,0.95,0,0,0.4,0.37,0.58,0.4,0
6,0.9,1.83,1.4,0.17,0.6,0.33,1.23,0,0,0.618,0.83,0.4,0.618,0
7,0.7,1.54,1.34,0.46,0.66,0.18,0.88,0,0,0.664,0.54,0.34,0.664,0
8,0.82,1.74,1.32,0.26,0.68,0.24,1.06,0,0,0.666,0.74,0.32,0.666,0
9,0.94,1.6,1.86,0.4,0.14,0.52,1.46,0,0,0.14,0.6,0.86,0.14,0
10,0.64,1.06,1.62,0.94,0.38,0.04,0.68,0,0,0.4,0.06,0.62,0.4,0
11,0.85,1.51,1.7,0.49,0.3,0.36,1.21,0,0,0.284,0.51,0.7,0.284,0
12,0.88,1.83,1.31,0.17,0.69,0.26,1.14,0,0,0.646,0.83,0.31,0.646,0
13,0.98,1.94,1.74,0.06,0.26,0.7,1.68,0,0,0.268,0.94,0.74,0.268,0
14,0.97,1.52,1.93,0.48,0.07,0.48,1.45,0,0,0.066,0.52,0.93,0.066,0
15,0.98,1.88,1.81,0.12,0.19,0.71,1.69,0,0,0.204,0.88,0.81,0.204,0
16,0.72,1.67,1.16,0.33,0.84,0.11,0.83,0,0,0.842,0.67,0.16,0.842,0
17,0.35,1.19,1.2,0.81,0.8,0.04,0.39,0,0,0.784,0.19,0.2,0.784,0
18,0.89,1.54,1.75,0.46,0.25,0.41,1.29,0,0,0.29,0.54,0.75,0.29,0
19,0.69,1.49,1.4,0.51,0.6,0.2,0.89,0,0,0.59,0.49,0.4,0.59,0
20,0.6,1.37,1.37,0.63,0.63,0.14,0.74,0,0,0.622,0.37,0.37,0.622,0
21,0.43,1.36,1.11,0.64,0.89,0.04,0.47,0,0,0.902,0.36,0.11,0.902,0
22,0.58,1.13,1.52,0.87,0.48,0.07,0.65,0,0,0.482,0.13,0.52,0.482,0
